platform,policy,seed,world,length_m,range_scale,odom_scale,marker_height_m,fov_deg,sensor_range_m,odom_scale_sigma,ratio_threshold,final_along_m,final_lateral_m,final_rot_rad,markers_placed,path_length_m,mission_time_s,blind_fraction,mean_yaw_rate_dps,glance_fraction,scale_estimate,lead_time_median_s,lead_time_n,wall_time_s
ugv,oracle_24,5,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.933106273140936,0.9586738296436766,0.08727708381433957,24,300.0,300.5,0.7495826377295493,0.0,nan,0.9957808385730665,0.5,1,24.85202980041504
ugv,oracle_24,6,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.8709002402219994,0.7184073662735557,0.014027441018225789,24,300.0,300.5,0.8180300500834724,0.0,nan,1.0158783107710927,1.0,1,25.589650869369507
ugv,oracle_24,7,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.5125235853826098,1.8677891899334753,0.010122691408861984,24,300.0,300.5,0.7863105175292153,0.0,nan,0.997756171216421,0.5,1,25.661421060562134
ugv,none,0,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.09522957429789095,2.1099346899556655,0.011349198762464425,0,300.0,300.5,0.21368948247078465,0.0,nan,1.0,0.75,4,26.858869075775146
ugv,none,1,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.4763900389715902,2.591210119015471,0.02485787803526931,0,300.0,300.5,0.2671118530884808,0.0,nan,1.0,2.5,5,26.16287922859192
ugv,none,2,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.11814335939880573,2.1022819434225846,0.01066848649927857,0,300.0,300.5,0.1318864774624374,0.0,nan,1.0,3.0,1,27.22235631942749
ugv,none,3,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.518544314267797,3.206011587640048,0.06701412538328225,0,300.0,300.5,0.05342237061769616,0.0,nan,1.0,-9.5,3,28.289883613586426
ugv,none,4,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.8732373941050335,1.6853562866609073,0.010795411078402643,0,300.0,300.5,0.17529215358931552,0.0,nan,1.0,0.75,4,28.72967767715454
ugv,none,5,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.8755231886521353,1.0793350952422263,0.03416642763881714,0,300.0,300.5,0.2003338898163606,0.0,nan,1.0,2.5,3,27.557647705078125
ugv,none,6,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.3015788451913166,0.6931005453987273,0.05214816281981659,0,300.0,300.5,0.13856427378964942,0.0,nan,1.0,2.0,5,28.132129192352295
ugv,none,7,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.1020560940134465,0.39371797060774566,0.009318644583166981,0,300.0,300.5,0.25542570951585974,0.0,nan,1.0,1.0,4,26.981563091278076
ugv,uniform_15m,0,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.840986807105428,2.092554740501921,0.019254027592199782,20,300.0,300.5,0.17195325542570952,0.0,nan,0.9949233633630288,0.5,4,27.32057809829712
ugv,uniform_15m,1,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.7086856396164081,1.8225059653187592,0.02005339243596839,20,300.0,300.5,0.3071786310517529,0.0,nan,1.0034019019712155,2.0,6,26.22551131248474
ugv,uniform_15m,2,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.4779338935939568,2.2412248725357578,0.015377356106614476,20,300.0,300.5,0.14524207011686144,0.0,nan,0.9977419921849758,-0.25,4,27.352055072784424
ugv,uniform_15m,3,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.030062882634342,3.3063120209211316,0.07937244232383066,20,300.0,300.5,0.05175292153589316,0.0,nan,1.0057845637320029,-12.0,3,27.467692136764526
ugv,uniform_15m,5,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.22955315587674827,0.5953126389652172,0.03572574598711206,20,300.0,300.5,0.20701168614357263,0.0,nan,0.9971049029842467,1.5,2,26.716789960861206
ugv,uniform_15m,4,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.1452250601941343,1.934683166020063,0.02621604507713733,20,300.0,300.5,0.2303839732888147,0.0,nan,0.9982206161843936,1.0,5,28.072714805603027
ugv,uniform_15m,7,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.7011325264066969,1.8825290196318611,0.011284517135596027,20,300.0,300.5,0.27545909849749584,0.0,nan,0.9962759000726774,-2.5,5,25.772189378738403
ugv,uniform_15m,6,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.03128066772624602,1.1093064426403527,0.05303348181892903,20,300.0,300.5,0.21702838063439064,0.0,nan,1.00273112630341,0.75,4,27.280416250228882
ugv,uniform_8m,1,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.6948246976630412,1.8430570591980586,0.017744271255741156,37,300.0,300.5,0.32053422370617696,0.0,nan,1.0052125199551734,1.5,3,26.030406951904297
ugv,uniform_8m,0,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.08647320219336638,2.0901684104989315,0.016731239000726508,37,300.0,300.5,0.19699499165275458,0.0,nan,1.002140787981292,-1.0,1,27.26988983154297
ugv,uniform_8m,2,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.2027047506533939,2.0450528654036195,0.015231810999077654,36,300.0,300.5,0.14524207011686144,0.0,nan,1.0087489774173724,4.5,2,27.11608648300171
ugv,uniform_8m,3,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.18915109241533057,3.1717768087527456,0.07299643609947945,36,300.0,300.5,0.05676126878130217,0.0,nan,1.0037613263098748,-11.25,2,27.872140645980835
ugv,uniform_8m,5,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.2392238325094764,0.45634049240412133,0.03602463977468825,36,300.0,300.5,0.2036727879799666,0.0,nan,0.9993669249386808,1.25,6,27.140477657318115
ugv,uniform_8m,4,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.6237631423871178,1.8845240065196984,0.011385581229886694,36,300.0,300.5,0.17529215358931552,0.0,nan,0.9997293644683767,-1.0,3,28.26012945175171
ugv,uniform_8m,7,junction,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.5748139373962238,0.5105818809554599,0.004825717270240526,36,300.0,300.5,0.3071786310517529,0.0,nan,0.9993223946664982,1.75,4,25.954453945159912
